,modality,distance,correctPredictions
0,audio,euclidean,36
1,audio,cityblock,33
2,audio,cosine,31
3,audio,correlation,31
4,audio,hamming,26
5,audio,jaccard,26
6,audio,jensenshannon,25
7,audio,chebyshev,35
8,audio,canberra,31
9,audio,braycurtis,33
10,audio,sokalsneath,26
11,video,euclidean,33
12,video,cityblock,31
13,video,cosine,33
14,video,correlation,33
15,video,hamming,28
16,video,jaccard,28
17,video,jensenshannon,33
18,video,chebyshev,33
19,video,canberra,33
20,video,braycurtis,31
21,video,sokalsneath,25
22,multimodal,euclidean,34
23,multimodal,cityblock,38
24,multimodal,cosine,34
25,multimodal,correlation,34
26,multimodal,hamming,27
27,multimodal,jaccard,29
28,multimodal,jensenshannon,25
29,multimodal,chebyshev,35
30,multimodal,canberra,37
31,multimodal,braycurtis,38
32,multimodal,sokalsneath,26
